index,precursor_mz,adduct,MS2,2h_N1,2h_N2,4h_N3,4h_N4,8h_N5,0h_N5,2h_N1.1,2h_N2.1,4h_N3.1,4h_N4.1,8h_N5.1,0h_N5.1,0h_N6,0h_N6.1
ft-00063,900.80182,[M+NH4]+,"[[601.52075, 1250], [602.52094, 96], [603.53662, 938], [604.53845, 76], [785.70374, 42], [883.77191, 44], [900.80695, 224], [901.80609, 52]]",249861.0907,353599.7903,348624.1783,291681.8165,468891.3209,562119.5541,108976.493,242674.6583,181346.874,144100.6045,186336.394,284171.5766,,
ft-00064,902.81744,[M+NH4]+,"[[603.53522, 1356], [604.54077, 202], [885.78845, 48], [902.82135, 98]]",1159475.418,1724542.775,1557477.058,1091465.69,1276029.624,2796171.392,574241.0587,1272395.781,987042.2951,604471.4402,536799.3138,1556657.845,,
ft-00065,904.83264,[M+NH4]+,"[[603.53827, 410], [605.5509, 648], [904.83301, 86]]",446155.4573,650715.7201,578459.3432,424249.516,522028.7835,970666.5806,209318.1337,464641.915,333090.7801,235223.2996,231379.0815,524920.3487,,
ft-00066,906.84894,[M+NH4]+,"[[283.26544, 42], [906.85168, 106]]",26999.18803,24073.96602,39698.56244,24292.00385,31832.19803,26195.48449,6985.106529,6894.293085,18192.30243,4718.959094,10407.34452,6673.971156,,
ft-00067,906.84906,[M+NH4]+,"[[605.54797, 62], [607.55945, 62]]",104248.7812,124192.5928,126165.6687,98636.3315,111536.7212,160168.0112,36068.03565,61396.9686,46865.26371,33136.94045,34551.45748,64500.8716,,
ft-00068,908.86462,[M+NH4]+,"[[607.5675, 308]]",123286.4466,110480.2277,123791.6123,112231.2829,119658.57,114174.0088,9167.096734,8399.142622,11121.92847,4241.362281,8716.480247,7751.666378,,
ft-00069,932.86548,[M+NH4]+,"[[603.53357, 144], [633.57745, 132]]",61459.94389,74175.49742,76083.12921,57615.95708,62741.73816,99566.72097,21441.8434,42103.85278,30754.04704,24767.42434,21538.10377,39500.7221,,
ft-00070,1002.78229,[M+Na]+,"[[1002.78107, 54]]",3502.93024,3138.249047,6690.461973,2789.009083,2420.931213,5388.957787,1267.12037,2213.369784,4433.207464,630.192198,819.1927744,2822.687015,,
ft-00071,1004.79791,[M+Na]+,"[[1004.79901, 120]]",15023.73522,16232.96852,32149.82554,12154.0176,14394.94861,25430.33211,6677.248257,7688.125518,22952.03851,1493.932329,4557.868183,9206.678266,,
ft-00072,1036.77185,[M+Na]+,"[[1036.77295, 238]]",174033.3052,94194.70453,173371.7773,62761.7514,63090.10291,129435.0519,159871.6868,63535.42568,94158.95945,29536.18687,16108.76428,53534.11942,,
ft-00073,227.20186,[M-H]-,"[[227.20151, 298]]",18442.79966,18645.46859,17401.07974,15015.78569,15315.44206,,2703.57963,1897.171377,5574.546406,132.3726875,2194.648121,,18803.46406,2271.270163
ft-00074,241.21738,[M-H]-,"[[241.21558, 178], [241.22787, 48]]",10280.19805,12143.52689,10016.08956,9861.554031,8838.134172,,2150.128897,2644.785256,3358.205554,172.0260426,2804.040265,,10675.38747,1923.769185
ft-00075,242.17714,[M-H]-,"[[181.16107, 136], [225.14938, 136], [242.15224, 52], [242.17838, 244]]",14817.96363,13817.72883,21067.89432,45538.81659,43907.54305,,6366.538844,2070.70628,13839.84914,2471.460397,32975.79087,,52871.85173,41671.15959
ft-00076,253.21805,[M-H]-,"[[253.21661, 186]]",31393.12889,29885.73139,26460.55216,23752.97734,18752.76394,,12618.18098,7411.403984,6766.667672,1284.629837,1423.577027,,29530.51489,3349.997266
ft-00077,255.23314,[M-H]-,"[[223.31462, 76], [237.22458, 98], [237.2428, 72], [254.88557, 88], [255.1395, 58], [255.23384, 10674], [255.2695, 82], [255.29776, 46], [255.33842, 66], [255.34343, 68], [255.74486, 50], [256.23364, 106]]",6375795.749,5430976.122,5215946.876,4750768.346,4863028.714,,1973059.199,405889.8294,974138.4218,146427.6788,330918.506,,5872173.086,125642.5756
ft-00078,255.23376,[M-H]-,"[[255.23135, 130]]",81233.1655,96238.12277,97038.98894,105462.8454,89515.37166,,7700.190784,5776.991609,16889.94963,547.5178188,14465.5216,,85043.09933,5261.496231
ft-00079,255.23436,[M-H]-,"[[227.96399, 78], [255.23392, 154], [255.35686, 96]]",87644.96206,60792.04644,92187.08657,136551.7175,94516.55986,,27790.35088,5252.9183,24371.98129,337.9443178,30574.98763,,100878.9135,38940.87744
